country_region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_station,workplace,residence
United States,2020-07-30,-13.0,-2.0,56.0,-31.0,-38.0,11.0
United States,2020-07-31,-14.0,-2.0,56.0,-28.0,-37.0,10.0
United States,2020-08-01,-17.0,0.0,69.0,-20.0,-14.0,4.0
United States,2020-08-02,-16.0,-4.0,52.0,-24.0,-17.0,3.0
United States,2020-08-03,-12.0,-1.0,47.0,-31.0,-38.0,10.0
United States,2020-08-04,-13.0,-3.0,48.0,-33.0,-39.0,11.0
United States,2020-08-05,-11.0,-2.0,61.0,-30.0,-37.0,10.0
United States,2020-08-06,-13.0,-2.0,62.0,-30.0,-37.0,10.0
United States,2020-08-07,-15.0,-5.0,57.0,-29.0,-37.0,10.0
United States,2020-08-08,-17.0,-1.0,79.0,-20.0,-13.0,3.0
United States,2020-08-09,-15.0,-4.0,66.0,-22.0,-16.0,2.0
United States,2020-08-10,-14.0,-5.0,47.0,-32.0,-38.0,9.0
United States,2020-08-11,-13.0,-3.0,57.0,-31.0,-38.0,10.0
United States,2020-08-12,-13.0,-4.0,51.0,-32.0,-37.0,10.0
United States,2020-08-13,-14.0,-3.0,53.0,-31.0,-37.0,10.0
United States,2020-08-14,-16.0,-5.0,53.0,-29.0,-37.0,10.0
United States,2020-08-15,-18.0,-2.0,67.0,-21.0,-14.0,3.0
United States,2020-08-16,-16.0,-5.0,48.0,-24.0,-17.0,3.0
United States,2020-08-17,,,,,-38.0,9.0
United States,2020-08-18,,,,,-36.0,10.0
United States,2020-08-19,,,,,-36.0,10.0
United States,2020-08-20,,,,,-37.0,10.0
United States,2020-08-21,,,,,-36.0,9.0
United States,2020-08-22,,,,,-13.0,3.0
United States,2020-08-23,,,,,-15.0,3.0
United States,2020-08-24,,,,,-37.0,10.0
United States,2020-08-25,,,,,-37.0,10.0
United States,2020-08-26,,,,,-36.0,10.0
United States,2020-08-27,,,,,-37.0,10.0
United States,2020-08-28,,,,,-35.0,9.0
United States,2020-08-29,,,,,-13.0,4.0
United States,2020-08-30,,,,,-15.0,2.0
United States,2020-08-31,,,,,-36.0,9.0
United States,2020-09-01,,,,,-36.0,9.0
United States,2020-09-02,,,,,-36.0,9.0
United States,2020-09-03,,,,,-36.0,8.0
United States,2020-09-04,,,,,-37.0,8.0
United States,2020-09-05,,,,,-17.0,2.0
United States,2020-09-06,,,,,-19.0,1.0
United States,2020-09-07,,,,,-71.0,16.0
United States,2020-09-08,,,,,-38.0,9.0
United States,2020-09-09,,,,,-36.0,9.0
United States,2020-09-10,,,,,-36.0,9.0
United States,2020-09-11,,,,,-34.0,8.0
United States,2020-09-12,,,,,-13.0,3.0
United States,2020-09-13,,,,,-16.0,3.0
United States,2020-09-14,,,,,-33.0,8.0
United States,2020-09-15,,,,,-34.0,9.0
United States,2020-09-16,,,,,-34.0,9.0
United States,2020-09-17,,,,,-34.0,9.0
United States,2020-09-18,,,,,-33.0,8.0
United States,2020-09-19,,,,,-13.0,2.0
United States,2020-09-20,,,,,-15.0,2.0
United States,2020-09-21,,,,,-35.0,9.0
United States,2020-09-22,,,,,-34.0,9.0
United States,2020-09-23,,,,,-33.0,9.0
United States,2020-09-24,,,,,-33.0,9.0
United States,2020-09-25,,,,,-32.0,8.0
United States,2020-09-26,,,,,-11.0,2.0
United States,2020-09-27,,,,,-15.0,2.0
